version,t,l,m,r,n,v_m,v_a,v_m_e,v_a_e,e,a,simulation_runs,max_complexity,mean_complexity,has_phase_change,time_to_complexity
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.4,10,524807460.24977124,9540803.387022445,False,4612
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.4,10,131825.673855641,3472.773096600769,True,266
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.4,10,13182567.385564102,182641.84888887266,True,859
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.4,10,83176377.11026709,195106.43480797962,False,4840
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.4,10,575439.9373371566,7305.614043072273,True,514
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.4,10,190546.0717963252,6687.947970416471,True,338
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.4,10,109647.81961431874,3072.6429296000533,True,340
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.4,10,275422.87033381633,6748.095316995453,True,1328
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.4,10,158489.31924611173,2638.614792817957,True,290
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.6,10,1905.4607179632521,71.8133897383644,True,408
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.6,10,3311.311214825908,196.49409749774193,True,340
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.6,10,1905.4607179632521,59.655376107606266,True,334
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.6,10,20892.96130854041,679.4755665029621,True,389
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.6,10,3311.311214825908,159.63231193500428,False,275
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.6,10,5754.399373371566,158.7748788285636,True,352
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.6,10,91201.08393559116,3119.365911201413,True,1338
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.6,10,10000.0,350.97013408259676,True,1181
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.6,10,691830.9709189363,17446.211402916848,True,709
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.6,10,109647.81961431874,3391.285447341684,True,2759
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.8,10,144.5439770745928,18.320090079230212,True,276
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.8,10,251.18864315095823,18.849257540550845,True,409
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.8,10,630.9573444801943,36.799722739347224,True,624
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.8,10,208.92961308540407,24.192133517996567,True,844
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.8,10,436.51583224016656,22.794196071812273,True,758
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.8,10,208.92961308540407,5.84136367229795,True,389
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.8,10,91201.08393559116,4243.838617600895,False,1996
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.8,10,436.51583224016656,31.160176932952385,True,353
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.8,10,524.8074602497734,41.0073483059645,True,797
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0.8,10,301.9951720402019,9.449271865874605,True,552
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,1,10,9.120108393559116,2.355430942695737,False,2963
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,1,10,9.120108393559116,0.8892253539473101,True,687
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,1,10,9.120108393559116,1.2540616697820628,True,498
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,1,10,4.3651583224016655,0.7478693514489362,True,696
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,1,10,15.848931924611174,1.3735403536740138,True,285
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,1,10,27.542287033381633,3.6275140998512927,True,1859
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,1,10,57.543993733715666,4.397103870486639,False,135
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,1,10,15.848931924611174,1.4717398183472348,True,762
